title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Video Making/Editing,Baar Baar Dekho,Delhi,2 Months," 3,000-5,000 /month",Hiring since April 2021,16 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Adobe After Effects,Adobe Premiere Pro,Photography,Video Editing",1
Law/Legal,Advocate Manisha Singh (Tomar),Gurgaon,6 Months," 1,000-5,000 /month",Hiring since September 2022,7 opportunities posted,"Certificate,Letter of recommendation,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",4
Search Engine Optimization (SEO),Portraitit,Work From Home,6 Months," 1,000 /month +  Incentives",Hiring since October 2022,2 opportunities posted,,"Digital Marketing,Google AdWords,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Graphic Design,MyPustak,Work From Home,1 Month," 1,000 /month",Hiring since April 2016,161 opportunities posted,"Certificate,Letter of recommendation",Figma,1
Roblox Curriculum Development,Unbound,Work From Home,3 Months," 5,000-8,000 /month",Hiring since September 2018,79 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,1
Digital Marketing,Addreach Media,Work From Home,3 Months," 5,000 /month",Hiring since February 2022,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Digital Marketing,English Proficiency (Written),Instagram Marketing,Social Media Marketing",2
Human Resources (HR),Ostello India Private Limited,Work From Home,3 Months," 2,000-5,000 /month",Hiring since August 2020,523 opportunities posted,"Certificate,Letter of recommendation","Content Marketing,English Proficiency (Spoken),English Proficiency (Written),Recruitment,Sales and Marketing",2
Digital Marketing,Saj International Events & Entertainment,Work From Home,3 Months," 6,000-9,000 /month",Hiring since February 2022,14 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,Digital Marketing,Google AdWords,Google Analytics,Instagram Marketing,Search Engine Optimization (SEO),Social Media Marketing",1
Content Writing,Rural Entrepreneurship And Livelihood Foundation (REAL),Work From Home,1 Month, 1200 /Write-up,Hiring since August 2020,16 opportunities posted,,"Creative Writing,English Proficiency (Written),Sketching",2
Travel & Tourism,Traaexplore Private Limited,Bangalore,3 Months," 5,000-10,000 /month",Hiring since June 2022,3 opportunities posted,"Certificate,Informal dress code,5 days a week","Canva,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint",2
Web Designing,FUTK Private Limited,Chandigarh,6 Months," 10,000-15,000 /month",Hiring since August 2022,24 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,12
Social Media Marketing,Chokhat,Ghaziabad,4 Months," 5,000 /month",Hiring since April 2019,24 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Adobe Illustrator,Adobe Photoshop,CorelDRAW",1
Digital Marketing,Concretio Apps Private Limited,Gurgaon,3 Months," 5,000 /month",Hiring since August 2022,4 opportunities posted,"Certificate,5 days a week","Canva,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",1
Software Testing,Elysium Academy Private Limited,Coimbatore,6 Months," 5,000 /month",Hiring since March 2018,41 opportunities posted,"Certificate,Letter of recommendation","Database Testing,Manual Testing,Software Testing",5
Furniture/Product Design,Chokhat,Ghaziabad,4 Months," 5,000 /month",Hiring since April 2019,24 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","3ds Max,Adobe Illustrator,Adobe Photoshop,Autodesk Fusion 360,CorelDRAW,KeyShot,Rhino",1
Graphic Design,PrepForTech,Work From Home,1 Month," 8,000 /month",Hiring since April 2020,22 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,CorelDRAW",1
Content Writing (FIFA),Loan Garage Private Limited,Work From Home,2 Months," 7,000 /month",Hiring since March 2022,13 opportunities posted,"Certificate,Letter of recommendation","Blogging,English Proficiency (Written),Search Engine Optimization (SEO)",3
Content Writing,Tare Zameen Foundation,Work From Home,6 Months,Unpaid,Hiring since May 2020,492 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Creative Writing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",30
Graphic Design,The Learn Cloud,Work From Home,6 Months," 10,000 /month",Hiring since October 2021,85 opportunities posted,"Certificate,Letter of recommendation,Job offer","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",4
Marketing,Verve The School Of Design & Vastu,Udaipur,3 Months," 4,000 /month +  Incentives",Hiring since July 2020,10 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages",,2
Marketing,SignalX Private Limited,Work From Home,6 Months," 12,000 /month",Hiring since October 2022,5 opportunities posted,Certificate,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,Social Media Marketing",1
Operations,TeachContent,Work From Home,3 Months," 1,000-10,000 /month",Hiring since October 2022,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint,MS-Word",5
Project Association,Mirats Insights,Work From Home,3 Months," 5,000-8,000 /month",Hiring since March 2022,16 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Client Relationship,Project Management",4
Business Development (Sales),KnowHassles Edapt Private Limited,Work From Home,3 Months," 10,000-15,000 /month",Hiring since March 2020,153 opportunities posted,"Certificate,Letter of recommendation","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Sales and Marketing,Salesforce,Social Media Marketing",2
Business Development (Sales),APNACAST TECHNOLAB PRIVATE LIMITED,Work From Home,3 Months," 5,000-8,000 /month",Hiring since August 2022,4 opportunities posted,Certificate,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",2
Content Marketing,Flearn App,Work From Home,1 Month," 1,000 /month +  Incentives",Hiring since July 2021,133 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Content Marketing,Digital Marketing,Email Marketing,Sales and Marketing,Salesforce",5
Mechanical Engineering (3D Printing),Garuda3d,Hyderabad,6 Months," 7,500 /month",Hiring since May 2018,101 opportunities posted,"Certificate,Letter of recommendation,Free snacks & beverages","AutoCAD,Autodesk Fusion 360,Rapid Prototyping,SolidWorks",1
Design,The Apprentice Project,Work From Home,6 Months,Unpaid,Hiring since August 2021,37 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,2
Operations,Admire Sign & Display Private Limited,Mumbai,3 Months," 10,000-12,000 /month",Hiring since November 2022,2 opportunities posted,"Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",1
LinkedIn Marketing,Flearn App,Work From Home,1 Month," 1,000 /month +  Incentives",Hiring since July 2021,133 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Content Marketing,Digital Marketing,Email Marketing,Sales and Marketing,Salesforce",5
Content Writing,Adunik Mind Private  Limited,Work From Home,6 Months," 5,000-8,000 /month",Hiring since December 2021,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",2
Content Writing,ITV Network Private Limited,Delhi,3 Months," 2,000 /month",Hiring since June 2022,4 opportunities posted,"Certificate,Informal dress code,Job offer","Blogging,Digital Marketing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",5
Marketing,MDR HR Consulting Services Private Limited,Pune,2 Months," 5,000 /month",Hiring since September 2021,3 opportunities posted,,"Email Marketing,English Proficiency (Spoken),Sales and Marketing",12
Digital Marketing,Suggest Nest,Work From Home,1 Month," 3,000 /month",Hiring since July 2020,6 opportunities posted,"Certificate,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Written),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Overseas Education Counselling,Shiv Vani Immigration Services,Delhi,3 Months," 5,000 /month +  Incentives",Hiring since March 2022,14 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Free snacks & beverages","Digital Advertising,Sales,Sales and Marketing,Social Media Marketing",5
Web Development,Eubiq India Private Limited,Delhi,3 Months," 20,000 /month",Hiring since February 2017,13 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Bootstrap,CSS,HTML,JavaScript,jQuery,MySQL,Node.js,PHP,ReactJS,WordPress",2
Digital Marketing,Loom Solar Private Limited,Faridabad,3 Months," 8,000 /month",Hiring since March 2022,28 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,Job offer","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",5
Digital Marketing,Infograins Software Solutions Private Limited,Indore,4 Months," 4,000-6,000 /month",Hiring since January 2022,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Creative Writing,Digital Marketing,Search Engine Marketing (SEM)",4
Electronics Engineering,Beyond Automation,Mumbai,6 Months," 5,000-8,000 /month",Hiring since September 2021,16 opportunities posted,"Certificate,Letter of recommendation,Job offer","Analog And Digital Circuits,Digital Signal Processing",3
Social Media Marketing,Drushti Koradia,Work From Home,2 Months," 2,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Flexible work hours","Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing",2
Unreal Engine And Three.Js Development,Zeal Real Estate,Navi Mumbai,2 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer","Blender 3D,JavaScript,ReactJS,Rhino,Unreal Engine",2
Telecalling,Shiv Vani Immigration Services,Noida,3 Months," 3,000 /month +  Incentives",Hiring since March 2022,14 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Free snacks & beverages","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,Sales,Sales and Marketing",4
HR & Administration,Mystro,Mumbai,3 Months," 6,000-10,000 /month",Hiring since December 2018,221 opportunities posted,"Certificate,Job offer",,1
Commerce Tutoring,Clavictor Academy Private Limited,Work From Home,6 Months," 3,000-9,000 /month",Hiring since December 2019,99 opportunities posted,"Certificate,Flexible work hours",MS-Office,12
Web Development,Elysian Corptech Services Private Limited,Work From Home,3 Months," 3,000 /month +  Incentives",Hiring since February 2021,48 opportunities posted,"Certificate,Letter of recommendation","Bootstrap,CSS,Express.js,HTML,JavaScript,MongoDB,Node.js,ReactJS",4
Social Media Content Creation,Nuvogen Limited,Work From Home,3 Months," 7,000 /month",Hiring since January 2020,32 opportunities posted,Certificate,"Adobe Illustrator,Adobe Photoshop,Canva,Content Marketing",1
Graphic Design,TryKiya,Work From Home,5 Months," 6,000 /month",Hiring since January 2021,124 opportunities posted,,"Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro",2
Marketing,OSOS Private Limited,Hyderabad,3 Months," 12,000 /month",Hiring since August 2019,220 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages","Digital Marketing,English Proficiency (Spoken)",1
Web Development,Dalphus Solutions Private Limited,Work From Home,6 Months," 3,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,5 days a week","Bootstrap,CSS,HTML,JavaScript,Python,React Native",2
Angular.js Development,Revolo Infotech,Work From Home,4 Months," 5,000-8,000 /month",Hiring since September 2017,104 opportunities posted,"Certificate,Letter of recommendation","AngularJS,CSS,HTML,JavaScript,Node.js",2
Teaching,Youth Empowerment Foundation,Delhi,1 Month,Unpaid,Hiring since April 2018,2767 opportunities posted,Certificate,,10
Content Writing,Juniors Brands Private Limited,Jaipur,6 Months," 12,000-15,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","Blogging,Creative Writing,Digital Marketing,Search Engine Optimization (SEO),Social Media Marketing",1
